angle,w5_semFriccao-w5_comFriccao_joint1,w5_semFriccao-w5_comFriccao_joint2
-65.0,-0.0011313340426,0.000879128498619
-64.9,-0.00112368421096,0.00081774135944
-64.8,-0.00111637680327,0.000759720590367
-64.7,-0.00110936206278,0.000704580166503
-64.6,-0.00110261363697,0.000652037832504
-64.5,-0.00109610043604,0.000601788069959
-64.4,-0.00108979651136,0.000553577351111
-64.3,-0.00108368636272,0.000507241200112
-64.2,-0.00107775388299,0.000462617185158
-64.1,-0.00107198215769,0.000419542976644
-64.0,-0.00106635942338,0.00037789998146
-63.9,-0.00106087542086,0.000337584753749
-63.8,-0.00105552113853,0.000298506403007
-63.7,-0.00105028569883,0.000260563524149
-63.6,-0.00104516501197,0.000223706512058
-63.5,-0.0010401527372,0.000187871321911
-63.4,-0.0010352403857,0.00015298061198
-63.3,-0.00103042292244,0.000118983509595
-63.2,-0.00102569578424,8.58338731219e-05
-63.1,-0.00102105482041,5.34896931373e-05
-63.0,-0.00101649357361,2.1894155875e-05
-62.9,-0.00101201129811,-8.96890059792e-06
-62.8,-0.00100760480455,-3.91318665034e-05
-62.7,-0.00100326856409,-6.86421972926e-05
-62.6,-0.000998999935005,-9.75267378326e-05
-62.5,-0.00099479647142,-0.000125810378993
-62.4,-0.000990658430591,-0.000153499392356
-62.3,-0.000986578628838,-0.000180649268523
-62.2,-0.000982557647732,-0.000207263022941
-62.1,-0.000978591182289,-0.00023337567859
-62.0,-0.000974680021604,-0.000258988239216
-61.9,-0.000970822557019,-0.000284117261082
-61.8,-0.000967012438849,-0.000308809600388
-61.7,-0.000963253151812,-0.000333047909948
-61.6,-0.000959540968791,-0.00035686134255
-61.5,-0.000955874673307,-0.000380262484953
-61.4,-0.000952253117545,-0.00040326324448
-61.3,-0.000948672866642,-0.00042588971889
-61.2,-0.000945137608739,-0.000448122818342
-61.1,-0.000941639357197,-0.000470016720598
-61.0,-0.00093818420534,-0.000491537087857
-60.9,-0.000934764333938,-0.00051273628206
-60.8,-0.000931383563521,-0.000533594045244
-60.7,-0.000928038820977,-0.000554132742518
-60.6,-0.000924729384478,-0.00057435999683
-60.5,-0.000921454566468,-0.000594283094545
-60.4,-0.000918213711531,-0.000613909006453
-60.3,-0.000915003949628,-0.000633257908506
-60.2,-0.000911829182317,-0.000652309081169
-60.1,-0.000908684357976,-0.000671095554189
-60.0,-0.000905568956122,-0.000689622892752
-59.9,-0.000902484690308,-0.000707883379109
-59.8,-0.000899428856269,-0.000725895427169
-59.7,-0.000896403194158,-0.000743651115861
-59.6,-0.000893405055011,-0.000761168263428
-59.5,-0.00089043401942,-0.000778451449319
-59.4,-0.000887489684821,-0.000795505089072
-59.3,-0.000884569495154,-0.000812345927468
-59.2,-0.000881677424411,-0.000828953017875
-59.1,-0.000878810939678,-0.000845342908727
