angle,w2_semFriccao/w2_comFriccao_joint1,w2_semFriccao/w2_comFriccao_joint2
-65.0,1.42857142857,1.42857142857
-64.9,1.42857142857,1.42857142857
-64.8,1.42857142857,1.42857142857
-64.7,1.42857142857,1.42857142857
-64.6,1.42857142857,1.42857142857
-64.5,1.42857142857,1.42857142857
-64.4,1.42857142857,1.42857142857
-64.3,1.42857142857,1.42857142857
-64.2,1.42857142857,1.42857142857
-64.1,1.42857142857,1.42857142857
-64.0,1.42857142857,1.42857142857
-63.9,1.42857142857,1.42857142857
-63.8,1.42857142857,1.42857142857
-63.7,1.42857142857,1.42857142857
-63.6,1.42857142857,1.42857142857
-63.5,1.42857142857,1.42857142857
-63.4,1.42857142857,1.42857142857
-63.3,1.42857142857,1.42857142857
-63.2,1.42857142857,1.42857142857
-63.1,1.42857142857,1.42857142857
-63.0,1.42857142857,1.42857142857
-62.9,1.42857142857,1.42857142857
-62.8,1.42857142857,1.42857142857
-62.7,1.42857142857,1.42857142857
-62.6,1.42857142857,1.42857142857
-62.5,1.42857142857,1.42857142857
-62.4,1.42857142857,1.42857142857
-62.3,1.42857142857,1.42857142857
-62.2,1.42857142857,1.42857142857
-62.1,1.42857142857,1.42857142857
-62.0,1.42857142857,1.42857142857
-61.9,1.42857142857,1.42857142857
-61.8,1.42857142857,1.42857142857
-61.7,1.42857142857,1.42857142857
-61.6,1.42857142857,1.42857142857
-61.5,1.42857142857,1.42857142857
-61.4,1.42857142857,1.42857142857
-61.3,1.42857142857,1.42857142857
-61.2,1.42857142857,1.42857142857
-61.1,1.42857142857,1.42857142857
-61.0,1.42857142857,1.42857142857
-60.9,1.42857142857,1.42857142857
-60.8,1.42857142857,1.42857142857
-60.7,1.42857142857,1.42857142857
-60.6,1.42857142857,1.42857142857
-60.5,1.42857142857,1.42857142857
-60.4,1.42857142857,1.42857142857
-60.3,1.42857142857,1.42857142857
-60.2,1.42857142857,1.42857142857
-60.1,1.42857142857,1.42857142857
-60.0,1.42857142857,1.42857142857
-59.9,1.42857142857,1.42857142857
-59.8,1.42857142857,1.42857142857
-59.7,1.42857142857,1.42857142857
-59.6,1.42857142857,1.42857142857
-59.5,1.42857142857,1.42857142857
-59.4,1.42857142857,1.42857142857
-59.3,1.42857142857,1.42857142857
-59.2,1.42857142857,1.42857142857
-59.1,1.42857142857,1.42857142857
-59.0,1.42857142857,1.42857142857
-58.9,1.42857142857,1.42857142857
-58.8,1.42857142857,1.42857142857
-58.7,1.42857142857,1.42857142857
-58.6,1.42857142857,1.42857142857
-58.5,1.42857142857,1.42857142857
-58.4,1.42857142857,1.42857142857
-58.3,1.42857142857,1.42857142857
-58.2,1.42857142857,1.42857142857
-58.1,1.42857142857,1.42857142857
-58.0,1.42857142857,1.42857142857
-57.9,1.42857142857,1.42857142857
-57.8,1.42857142857,1.42857142857
