angle,w2_semFriccao-w2_comFriccao_joint1,w2_semFriccao-w2_comFriccao_joint2
-65.0,-0.242245397543,0.0607133241105
-64.9,-0.240607387515,0.0564738787018
-64.8,-0.23904269856,0.0524669175312
-64.7,-0.237540676581,0.048658875327
-64.6,-0.236095678877,0.0450302593071
-64.5,-0.234701048388,0.0415599701235
-64.4,-0.233351228898,0.0382304989441
-64.3,-0.232042901446,0.0350304869344
-64.2,-0.230772617112,0.0319487164228
-64.1,-0.229536754107,0.0289739767956
-64.0,-0.228332793599,0.0260980779168
-63.9,-0.22715853885,0.0233138757319
-63.8,-0.226012060268,0.0206150932694
-63.7,-0.224891028702,0.0179947274124
-63.6,-0.223794568437,0.0154493523912
-63.5,-0.222721321767,0.0129745452186
-63.4,-0.221669471035,0.0105649646125
-63.3,-0.220637938118,0.00821709726534
-63.2,-0.219625745938,0.0059277565983
-63.1,-0.218632005729,0.00369404140704
-63.0,-0.217655334823,0.00151202808668
-62.9,-0.216695573541,-0.000619399518767
-62.8,-0.215752038967,-0.00270247830413
-62.7,-0.214823547244,-0.00474048558131
-62.6,-0.213909532718,-0.00673527527869
-62.5,-0.213009471668,-0.00868856637938
-62.4,-0.212123419176,-0.0106007920043
-62.3,-0.211249837051,-0.0124757843789
-62.2,-0.210388849819,-0.0143137517528
-62.1,-0.20953953568,-0.0161171128406
-62.0,-0.208702063599,-0.0178859369627
-61.9,-0.207876089124,-0.0196213675072
-61.8,-0.207060252637,-0.0213266404016
-61.7,-0.206255300299,-0.023000557635
-61.6,-0.205460434046,-0.0246451325224
-61.5,-0.2046753934,-0.0262612343158
-61.4,-0.203899932588,-0.0278496853445
-61.3,-0.203133316125,-0.0294122879407
-61.2,-0.202376333726,-0.0309477237446
-61.1,-0.201627275267,-0.0324597343162
-61.0,-0.20088744547,-0.0339459482593
-60.9,-0.200155170053,-0.0354099817317
-60.8,-0.199431267083,-0.0368504357022
-60.7,-0.198715078533,-0.0382688547233
-60.6,-0.198006449844,-0.0396657652419
-60.5,-0.197305233791,-0.0410416704603
-60.4,-0.196611290038,-0.0423970517866
-60.3,-0.195924004038,-0.043733302589
-60.2,-0.195244211209,-0.045048991959
-60.1,-0.194570829878,-0.046346400958
-60.0,-0.193903748599,-0.047625913922
-59.9,-0.193243334283,-0.0488869978573
-59.8,-0.192589007883,-0.0501309244431
-59.7,-0.191941142007,-0.051357146644
-59.6,-0.191299169448,-0.0525668950019
-59.5,-0.190663000402,-0.0537604857777
-59.4,-0.190032548672,-0.0549382239119
-59.3,-0.189407266942,-0.0561012658123
-59.2,-0.18878800614,-0.057248164888
-59.1,-0.188174223908,-0.0583800639869
-59.0,-0.187565386164,-0.0594980722369
-58.9,-0.186961885319,-0.0606015903393
-58.8,-0.186363195096,-0.0616916991416
-58.7,-0.185769710441,-0.0627677953677
-58.6,-0.185181368134,-0.0638301121506
-58.5,-0.184597197747,-0.0648805074022
-58.4,-0.184018054426,-0.065917546904
-58.3,-0.183443881448,-0.0669414435827
