angle,pesos_first,pesos_second
-60.1,[ 1.32857148  0.06153488 -0.2497973   0.02473733],[ 0.90025629  0.01925449 -0.1279952   0.00407482]
-60.0,[ 1.32670922  0.06132391 -0.24894088  0.02465252],[ 0.90342725  0.01978606 -0.13152884  0.00418732]
-59.9,[ 1.32486558  0.06111505 -0.24809301  0.02456856],[ 0.90655254  0.02030998 -0.13501158  0.00429819]
-59.8,[ 1.32303893  0.06090811 -0.24725296  0.02448537],[ 0.9096353   0.02082676 -0.13844694  0.00440756]
-59.7,[ 1.32123032  0.06070322 -0.24642121  0.024403  ],[ 0.91267419  0.0213362  -0.14183341  0.00451537]
-59.6,[ 1.31943815  0.06050019 -0.24559702  0.02432138],[ 0.91567226  0.02183878 -0.14517438  0.00462173]
-59.5,[ 1.31766219  0.06029899 -0.24478028  0.0242405 ],[ 0.91863028  0.02233466 -0.14847073  0.00472667]
-59.4,[ 1.31590219  0.06009961 -0.24397089  0.02416035],[ 0.92154901  0.02282395 -0.1517233   0.00483022]
-59.3,[ 1.31415663  0.05990185 -0.24316813  0.02408085],[ 0.92443132  0.02330713 -0.15493528  0.00493248]
-59.2,[ 1.31242787  0.05970601 -0.2423731   0.02400212],[ 0.92727363  0.0237836  -0.15810268  0.00503331]
-59.1,[ 1.3107144   0.05951189 -0.2415851   0.02392408],[ 0.93007876  0.02425385 -0.16122865  0.00513283]
-59.0,[ 1.30901474  0.05931934 -0.24080345  0.02384668],[ 0.93284947  0.02471832 -0.16431626  0.00523113]
-58.9,[ 1.30732998  0.05912848 -0.24002865  0.02376995],[ 0.93558427  0.02517678 -0.16736386  0.00532815]
-58.8,[ 1.30565865  0.05893914 -0.23926003  0.02369383],[ 0.93828583  0.02562966 -0.17037442  0.00542399]
-58.7,[ 1.30400185  0.05875144 -0.2384981   0.02361838],[ 0.94095267  0.02607672 -0.17334628  0.0055186 ]
-58.6,[ 1.3023594   0.05856537 -0.23774276  0.02354358],[ 0.94358536  0.02651806 -0.17628009  0.005612  ]
-58.5,[ 1.30072861  0.05838062 -0.23699278  0.02346931],[ 0.94618851  0.02695444 -0.17918097  0.00570436]
-58.4,[ 1.29911184  0.05819746 -0.23624925  0.02339568],[ 0.94875855  0.02738528 -0.18204497  0.00579553]
-58.3,[ 1.29750895  0.05801588 -0.23551211  0.02332268],[ 0.95129603  0.02781065 -0.18487268  0.00588555]
-58.2,[ 1.29591726  0.05783556 -0.23478012  0.02325019],[ 0.95380541  0.02823132 -0.18766907  0.00597458]
-58.1,[ 1.29433791  0.05765664 -0.23405379  0.02317826],[ 0.95628516  0.02864702 -0.19043244  0.00606255]
-58.0,[ 1.292772    0.05747924 -0.23333365  0.02310694],[ 0.95873375  0.02905749 -0.19316109  0.00614942]
-57.9,[ 1.29121689  0.05730306 -0.23261848  0.02303612],[ 0.96115555  0.02946347 -0.19585989  0.00623534]
-57.8,[ 1.28967498  0.05712838 -0.23190938  0.0229659 ],[ 0.96354708  0.02986438 -0.19852496  0.00632018]
-57.7,[ 1.28814363  0.0569549  -0.23120514  0.02289616],[ 0.96591263  0.03026094 -0.20116107  0.00640411]
-57.6,[ 1.28662398  0.05678274 -0.23050627  0.02282695],[ 0.96825066  0.03065288 -0.20376652  0.00648705]
-57.5,[ 1.28511467  0.05661176 -0.22981216  0.02275821],[ 0.97056346  0.03104059 -0.20634384  0.0065691 ]
-57.4,[ 1.28361685  0.05644207 -0.22912334  0.02269   ],[ 0.97284947  0.03142381 -0.20889132  0.00665021]
-57.3,[ 1.2821304   0.05627368 -0.22843974  0.0226223 ],[ 0.97510908  0.0318026  -0.21140937  0.00673037]
-57.2,[ 1.28065399  0.05610642 -0.22776076  0.02255506],[ 0.9773445   0.03217734 -0.21390048  0.00680968]
-57.1,[ 1.27918876  0.05594042 -0.22708692  0.02248833],[ 0.97955421  0.03254777 -0.21636292  0.00688807]
-57.0,[ 1.27773337  0.05577555 -0.22641761  0.02242205],[ 0.98174039  0.03291426 -0.21879915  0.00696563]
-56.9,[ 1.27628775  0.05561177 -0.22575279  0.02235622],[ 0.98390335  0.03327685 -0.2212095   0.00704236]
-56.8,[ 1.27485303  0.05544924 -0.22509299  0.02229087],[ 0.98604155  0.03363529 -0.22359226  0.00711822]
-56.7,[ 1.27342791  0.05528779 -0.2244376   0.02222597],[ 0.98815713  0.03398994 -0.22594982  0.00719328]
-56.6,[ 1.27201229  0.05512742 -0.22378658  0.0221615 ],[ 0.99025039  0.03434085 -0.22828249  0.00726754]
-56.5,[ 1.27060611  0.05496811 -0.22313989  0.02209746],[ 0.99232158  0.03468806 -0.23059058  0.00734102]
-56.4,[ 1.26920929  0.05480987 -0.22249752  0.02203385],[ 0.99437098  0.03503162 -0.23287439  0.00741372]
-56.3,[ 1.26782176  0.05465268 -0.22185941  0.02197066],[ 0.99639887  0.03537156 -0.23513421  0.00748567]
-56.2,[ 1.26644345  0.05449654 -0.22122555  0.02190788],[ 0.99840548  0.03570795 -0.23737034  0.00755686]
-56.1,[ 1.26507428  0.05434143 -0.22059589  0.02184553],[ 1.00039108  0.03604081 -0.23958304  0.0076273 ]
-56.0,[ 1.2637142   0.05418735 -0.21997041  0.02178359],[ 1.00235592  0.03637019 -0.24177261  0.00769701]
-55.9,[ 1.26236314  0.05403429 -0.21934907  0.02172206],[ 1.00430023  0.03669613 -0.2439393   0.00776598]
-55.8,[ 1.26101982  0.05388211 -0.2187313   0.02166088],[ 1.00622598  0.03701895 -0.24608532  0.0078343 ]
-55.7,[ 1.2596854   0.05373093 -0.21811762  0.02160011],[ 1.00813166  0.03733842 -0.24820896  0.00790191]
-55.6,[ 1.25835981  0.05358076 -0.217508    0.02153974],[ 1.0100175   0.03765455 -0.25031049  0.00796881]
-55.5,[ 1.25704181  0.05343145 -0.21690187  0.02147971],[ 1.01188541  0.03796769 -0.25239206  0.00803508]
-55.4,[ 1.25573253  0.05328312 -0.21629976  0.02142008],[ 1.01373391  0.03827756 -0.25445198  0.00810066]
-55.3,[ 1.25443072  0.05313564 -0.21570107  0.0213608 ],[ 1.01556489  0.0385845  -0.25649238  0.00816562]
-55.2,[ 1.25313634  0.052989   -0.2151058   0.02130185],[ 1.01737854  0.03888854 -0.25851346  0.00822996]
-55.1,[ 1.25185053  0.05284334 -0.21451448  0.02124329],[ 1.01917336  0.03918942 -0.26051357  0.00829364]
-55.0,[ 1.25057325  0.05269864 -0.21392708  0.02118512],[ 1.02094956  0.03948717 -0.26249293  0.00835665]
-54.9,[ 1.24930204  0.05255462 -0.21334247  0.02112723],[ 1.02271066  0.0397824  -0.26445545  0.00841913]
-54.8,[ 1.24803928  0.05241157 -0.21276174  0.02106972],[ 1.02445349  0.04007456 -0.26639763  0.00848096]
-54.7,[ 1.24678371  0.05226933 -0.21218433  0.02101253],[ 1.02617991  0.04036397 -0.2683215   0.00854221]
-54.6,[ 1.24553529  0.0521279  -0.2116102   0.02095568],[ 1.02789006  0.04065066 -0.27022726  0.00860288]
-54.5,[ 1.24429517  0.05198741 -0.21103989  0.0208992 ],[ 1.02958249  0.04093437 -0.27211326  0.00866292]
-54.4,[ 1.24306094  0.05184758 -0.21047228  0.02084299],[ 1.03126062  0.04121569 -0.27398333  0.00872246]
-54.3,[ 1.24183374  0.05170856 -0.20990791  0.0207871 ],[ 1.03292296  0.04149436 -0.27583581  0.00878143]
-54.2,[ 1.24061473  0.05157046 -0.20934731  0.02073159],[ 1.03456808  0.04177014 -0.27766909  0.0088398 ]
-54.1,[ 1.23940149  0.05143301 -0.20878936  0.02067633],[ 1.03619934  0.0420436  -0.27948692  0.00889767]
-54.0,[ 1.23819518  0.05129635 -0.20823459  0.02062139],[ 1.03781527  0.04231449 -0.28128768  0.008955  ]
-53.9,[ 1.23699577  0.05116047 -0.207683    0.02056677],[ 1.03941602  0.04258284 -0.28307152  0.00901179]
-53.8,[ 1.23580321  0.05102537 -0.20713456  0.02051246],[ 1.04100174  0.04284867 -0.2848386   0.00906804]
-53.7,[ 1.23461749  0.05089104 -0.20658926  0.02045846],[ 1.04257257  0.04311199 -0.2865891   0.00912377]
-53.6,[ 1.23343737  0.05075735 -0.20604655  0.02040471],[ 1.0441302   0.04337311 -0.28832489  0.00917903]
-53.5,[ 1.23226403  0.05062443 -0.20550694  0.02035128],[ 1.04567321  0.04363178 -0.29004438  0.00923377]
-53.4,[ 1.23109742  0.05049226 -0.20497044  0.02029815],[ 1.04720172  0.04388801 -0.29174772  0.009288  ]
-53.3,[ 1.22993752  0.05036086 -0.20443702  0.02024532],[ 1.04871588  0.04414184 -0.29343506  0.00934172]
-53.2,[ 1.22878312  0.05023008 -0.20390613  0.02019275],[ 1.05021734  0.04439354 -0.29510825  0.00939498]
-53.1,[ 1.2276342   0.05009992 -0.20337775  0.02014042],[ 1.05170622  0.04464313 -0.29676742  0.0094478 ]
-53.0,[ 1.2264919   0.04997052 -0.20285243  0.0200884 ],[ 1.0531811   0.04489038 -0.29841099  0.00950013]
-52.9,[ 1.22535503  0.04984172 -0.2023296   0.02003662],[ 1.05464362  0.04513555 -0.30004079  0.00955201]
-52.8,[ 1.22422474  0.04971367 -0.20180979  0.01998515],[ 1.05609238  0.04537842 -0.30165526  0.00960341]
-52.7,[ 1.22310101  0.04958637 -0.20129301  0.01993397],[ 1.0575275   0.045619   -0.30325453  0.00965433]
