angle,pesos_first,pesos_second
-61.2,[  8.92974825e-03  -7.19661219e-03  -9.07245032e-05  -2.18009262e-04],[  1.35893589e-04   8.64164722e-04   2.16383662e-05  -4.24017156e-04]
-61.1,[  8.89669645e-03  -7.16997526e-03  -9.03887032e-05  -2.17202341e-04],[  1.42532932e-04   9.06385152e-04   2.26955502e-05  -4.44733330e-04]
-61.0,[  8.86405185e-03  -7.14366652e-03  -9.00570405e-05  -2.16405362e-04],[  1.49059000e-04   9.47885253e-04   2.37346974e-05  -4.65096062e-04]
-60.9,[  8.83174059e-03  -7.11762640e-03  -8.97287643e-05  -2.15616521e-04],[  1.55487671e-04   9.88766000e-04   2.47583362e-05  -4.85154898e-04]
-60.8,[  8.79979875e-03  -7.09188402e-03  -8.94042415e-05  -2.14836699e-04],[  1.61812804e-04   1.02898833e-03   2.57654885e-05  -5.04890669e-04]
-60.7,[  8.76819731e-03  -7.06641597e-03  -8.90831771e-05  -2.14065187e-04],[  1.68041180e-04   1.06859537e-03   2.67572342e-05  -5.24324537e-04]
-60.6,[  8.73692945e-03  -7.04121675e-03  -8.87655016e-05  -2.13301819e-04],[  1.74175110e-04   1.10760182e-03   2.77339413e-05  -5.43463716e-04]
-60.5,[  8.70598866e-03  -7.01628113e-03  -8.84511493e-05  -2.12546436e-04],[  1.80216805e-04   1.14602173e-03   2.86959616e-05  -5.62315100e-04]
-60.4,[  8.67536876e-03  -6.99160411e-03  -8.81400571e-05  -2.11798887e-04],[  1.86168378e-04   1.18386854e-03   2.96436319e-05  -5.80885285e-04]
-60.3,[  8.64504263e-03  -6.96716385e-03  -8.78319495e-05  -2.11058511e-04],[  1.92035947e-04   1.22118116e-03   3.05779263e-05  -5.99193360e-04]
-60.2,[  8.61504713e-03  -6.94299004e-03  -8.75272011e-05  -2.10326206e-04],[  1.97813230e-04   1.25791964e-03   3.14978443e-05  -6.17219722e-04]
-60.1,[  8.58533454e-03  -6.91904424e-03  -8.72253269e-05  -2.09600808e-04],[  2.03510242e-04   1.29414767e-03   3.24049808e-05  -6.34995623e-04]
-60.0,[  8.55589993e-03  -6.89532247e-03  -8.69262770e-05  -2.08882197e-04],[  2.09128672e-04   1.32987599e-03   3.32996046e-05  -6.52526329e-04]
-59.9,[  8.52675950e-03  -6.87183778e-03  -8.66302159e-05  -2.08170768e-04],[  2.14666179e-04   1.36508970e-03   3.41813430e-05  -6.69804538e-04]
-59.8,[  8.49788770e-03  -6.84856957e-03  -8.63368840e-05  -2.07465897e-04],[  2.20128346e-04   1.39982432e-03   3.50510851e-05  -6.86847672e-04]
-59.7,[  8.46930096e-03  -6.82553111e-03  -8.60464483e-05  -2.06767985e-04],[  2.25512772e-04   1.43406458e-03   3.59084485e-05  -7.03648237e-04]
-59.6,[  8.44097426e-03  -6.80270222e-03  -8.57586546e-05  -2.06076422e-04],[  2.30824861e-04   1.46784483e-03   3.67542935e-05  -7.20223093e-04]
-59.5,[  8.41290364e-03  -6.78007970e-03  -8.54734626e-05  -2.05391111e-04],[  2.36066000e-04   1.50117390e-03   3.75888413e-05  -7.36576572e-04]
-59.4,[  8.38508529e-03  -6.75766050e-03  -8.51908336e-05  -2.04711959e-04],[  2.41237529e-04   1.53406032e-03   3.84123051e-05  -7.52712854e-04]
-59.3,[  8.35749507e-03  -6.73542514e-03  -8.49105222e-05  -2.04038376e-04],[  2.46344527e-04   1.56653637e-03   3.92254934e-05  -7.68647781e-04]
-59.2,[  8.33017051e-03  -6.71340389e-03  -8.46329101e-05  -2.03371280e-04],[  2.51380639e-04   1.59856166e-03   4.00273947e-05  -7.84361533e-04]
-59.1,[  8.30308770e-03  -6.69157746e-03  -8.43577540e-05  -2.02710085e-04],[  2.56350886e-04   1.63016809e-03   4.08188083e-05  -7.99869771e-04]
-59.0,[  8.27622306e-03  -6.66992686e-03  -8.40848144e-05  -2.02054216e-04],[  2.61260138e-04   1.66138665e-03   4.16005094e-05  -8.15187688e-04]
-58.9,[  8.24959390e-03  -6.64846604e-03  -8.38142674e-05  -2.01404097e-04],[  2.66105762e-04   1.69220059e-03   4.23720792e-05  -8.30307075e-04]
-58.8,[  8.22317701e-03  -6.62717629e-03  -8.35458770e-05  -2.00759160e-04],[  2.70892505e-04   1.72264010e-03   4.31342733e-05  -8.45242740e-04]
-58.7,[  8.19698982e-03  -6.60607166e-03  -8.32798202e-05  -2.00119830e-04],[  2.75617718e-04   1.75268834e-03   4.38866700e-05  -8.59986417e-04]
