angle,pesos_first,pesos_second
-60.9,[ 0.01261677 -0.01016804 -0.00012818 -0.00030802],[  2.22125245e-04   1.41252286e-03   3.53690518e-05  -6.93078425e-04]
-60.8,[ 0.01257114 -0.01013126 -0.00012772 -0.00030691],[  2.31161149e-04   1.46998333e-03   3.68078408e-05  -7.21272384e-04]
-60.7,[ 0.012526   -0.01009488 -0.00012726 -0.00030581],[  2.40058828e-04   1.52656481e-03   3.82246202e-05  -7.49035054e-04]
-60.6,[ 0.01248133 -0.01005888 -0.00012681 -0.00030472],[  2.48821586e-04   1.58228831e-03   3.96199161e-05  -7.76376738e-04]
-60.5,[ 0.01243713 -0.01002326 -0.00012636 -0.00030364],[  2.57452579e-04   1.63717389e-03   4.09942309e-05  -8.03307286e-04]
-60.4,[ 0.01239338 -0.00998801 -0.00012591 -0.00030257],[  2.65954825e-04   1.69124077e-03   4.23480456e-05  -8.29836121e-04]
-60.3,[ 0.01235006 -0.00995309 -0.00012547 -0.00030151],[  2.74337067e-04   1.74454452e-03   4.36827518e-05  -8.55990515e-04]
-60.2,[ 0.01230721 -0.00991856 -0.00012504 -0.00030047],[  2.82590329e-04   1.79702806e-03   4.49969204e-05  -8.81742460e-04]
-60.1,[ 0.01226476 -0.00988435 -0.00012461 -0.00029943],[  2.90728918e-04   1.84878239e-03   4.62928297e-05  -9.07136604e-04]
-60.0,[ 0.01222271 -0.00985046 -0.00012418 -0.0002984 ],[  2.98755246e-04   1.89982284e-03   4.75708637e-05  -9.32180470e-04]
-59.9,[ 0.01218109 -0.00981691 -0.00012376 -0.00029739],[  3.06665969e-04   1.95012814e-03   4.88304900e-05  -9.56863625e-04]
-59.8,[ 0.01213984 -0.00978367 -0.00012334 -0.00029638],[  3.14469066e-04   1.99974903e-03   5.00729787e-05  -9.81210960e-04]
-59.7,[ 0.012099   -0.00975076 -0.00012292 -0.00029538],[  3.22161103e-04   2.04866368e-03   5.12977836e-05  -1.00521177e-03]
-59.6,[ 0.01205853 -0.00971815 -0.00012251 -0.00029439],[  3.29749801e-04   2.09692118e-03   5.25061336e-05  -1.02889013e-03]
-59.5,[ 0.01201843 -0.00968583 -0.0001221  -0.00029342],[  3.37237143e-04   2.14453415e-03   5.36983447e-05  -1.05225225e-03]
-59.4,[ 0.01197869 -0.0096538  -0.0001217  -0.00029245],[  3.44625042e-04   2.19151474e-03   5.48747215e-05  -1.07530408e-03]
-59.3,[ 0.01193928 -0.00962204 -0.0001213  -0.00029148],[  3.51920752e-04   2.23790910e-03   5.60364191e-05  -1.09806826e-03]
-59.2,[ 0.01190024 -0.00959058 -0.0001209  -0.00029053],[  3.59115199e-04   2.28365951e-03   5.71819925e-05  -1.12051648e-03]
-59.1,[ 0.01186155 -0.0095594  -0.00012051 -0.00028959],[  3.66215552e-04   2.32881156e-03   5.83125832e-05  -1.14267110e-03]
-59.0,[ 0.01182318 -0.00952847 -0.00012012 -0.00028865],[  3.73228768e-04   2.37340950e-03   5.94292992e-05  -1.16455384e-03]
-58.9,[ 0.01178513 -0.00949781 -0.00011973 -0.00028772],[  3.80151088e-04   2.41742942e-03   6.05315417e-05  -1.18615296e-03]
-58.8,[ 0.0117474  -0.00946739 -0.00011935 -0.0002868 ],[  3.86989293e-04   2.46091443e-03   6.16203905e-05  -1.20748963e-03]
-58.7,[ 0.01170999 -0.00943725 -0.00011897 -0.00028589],[  3.93739596e-04   2.50384048e-03   6.26952429e-05  -1.22855202e-03]
-58.6,[ 0.0116729  -0.00940736 -0.00011859 -0.00028498],[  4.00403463e-04   2.54621686e-03   6.37563317e-05  -1.24934472e-03]
-58.5,[ 0.01163608 -0.00937768 -0.00011822 -0.00028408],[  4.06992545e-04   2.58811768e-03   6.48055129e-05  -1.26990407e-03]
-58.4,[ 0.01159957 -0.00934826 -0.00011785 -0.00028319],[  4.13497848e-04   2.62948573e-03   6.58413537e-05  -1.29020201e-03]
-58.3,[ 0.01156338 -0.00931909 -0.00011748 -0.00028231],[  4.19920707e-04   2.67032951e-03   6.68640668e-05  -1.31024271e-03]
-58.2,[ 0.01152744 -0.00929013 -0.00011712 -0.00028143],[  4.26272459e-04   2.71072112e-03   6.78754577e-05  -1.33006154e-03]
-58.1,[ 0.01149178 -0.00926139 -0.00011675 -0.00028056],[  4.32549185e-04   2.75063562e-03   6.88749021e-05  -1.34964627e-03]
-58.0,[ 0.01145642 -0.00923289 -0.00011639 -0.00027969],[  4.38747057e-04   2.79004868e-03   6.98617907e-05  -1.36898496e-03]
-57.9,[ 0.0114213  -0.00920459 -0.00011604 -0.00027884],[  4.44877124e-04   2.82903057e-03   7.08378827e-05  -1.38811208e-03]
-57.8,[ 0.01138649 -0.00917653 -0.00011568 -0.00027799],[  4.50930569e-04   2.86752519e-03   7.18017740e-05  -1.40700013e-03]
-57.7,[ 0.01135191 -0.00914867 -0.00011533 -0.00027714],[  4.56918257e-04   2.90560167e-03   7.27551949e-05  -1.42568300e-03]
-57.6,[ 0.0113176  -0.00912101 -0.00011498 -0.00027631],[  4.62836273e-04   2.94323509e-03   7.36975219e-05  -1.44414848e-03]
-57.5,[ 0.01128352 -0.00909355 -0.00011464 -0.00027547],[  4.68690418e-04   2.98046235e-03   7.46296788e-05  -1.46241467e-03]
-57.4,[ 0.0112497  -0.00906629 -0.00011429 -0.00027465],[  4.74476778e-04   3.01725855e-03   7.55510421e-05  -1.48046935e-03]
-57.3,[ 0.01121613 -0.00903924 -0.00011395 -0.00027383],[  4.80196291e-04   3.05362967e-03   7.64617614e-05  -1.49831546e-03]
-57.2,[ 0.01118279 -0.00901237 -0.00011362 -0.00027301],[  4.85854600e-04   3.08961158e-03   7.73627353e-05  -1.51597060e-03]
-57.1,[ 0.01114971 -0.00898571 -0.00011328 -0.00027221],[  4.91447812e-04   3.12517953e-03   7.82533437e-05  -1.53342262e-03]
-57.0,[ 0.01111685 -0.00895923 -0.00011295 -0.0002714 ],[  4.96981472e-04   3.16036878e-03   7.91344695e-05  -1.55068883e-03]
-56.9,[ 0.01108421 -0.00893292 -0.00011261 -0.00027061],[  5.02456348e-04   3.19518422e-03   8.00062353e-05  -1.56777162e-03]
-56.8,[ 0.01105181 -0.00890681 -0.00011228 -0.00026982],[  5.07868568e-04   3.22960121e-03   8.08680242e-05  -1.58465890e-03]
-56.7,[ 0.01101963 -0.00888088 -0.00011196 -0.00026903],[  5.13223539e-04   3.26365416e-03   8.17206974e-05  -1.60136756e-03]
-56.6,[ 0.01098767 -0.00885512 -0.00011163 -0.00026825],[  5.18521978e-04   3.29734761e-03   8.25643690e-05  -1.61789983e-03]
-56.5,[ 0.01095592 -0.00882953 -0.00011131 -0.00026748],[  5.23764583e-04   3.33068601e-03   8.33991502e-05  -1.63425788e-03]
-56.4,[ 0.01092438 -0.00880411 -0.00011099 -0.00026671],[  5.28952038e-04   3.36367370e-03   8.42251498e-05  -1.65044385e-03]
-56.3,[ 0.01089305 -0.00877886 -0.00011067 -0.00026594],[  5.34085011e-04   3.39631493e-03   8.50424741e-05  -1.66645983e-03]
-56.2,[ 0.01086192 -0.00875378 -0.00011036 -0.00026518],[  5.39164154e-04   3.42861385e-03   8.58512273e-05  -1.68230785e-03]
-56.1,[ 0.01083101 -0.00872886 -0.00011004 -0.00026443],[  5.44190108e-04   3.46057454e-03   8.66515110e-05  -1.69798990e-03]
-56.0,[ 0.0108003  -0.00870411 -0.00010973 -0.00026368],[  5.49163497e-04   3.49220095e-03   8.74434248e-05  -1.71350794e-03]
-55.9,[ 0.01076979 -0.00867953 -0.00010942 -0.00026293],[  5.54084933e-04   3.52349699e-03   8.82270662e-05  -1.72886388e-03]
-55.8,[ 0.01073946 -0.00865508 -0.00010911 -0.00026219],[  5.58959404e-04   3.55449438e-03   8.90032293e-05  -1.74407327e-03]
-55.7,[ 0.01070933 -0.0086308  -0.0001088  -0.00026146],[  5.63783063e-04   3.58516865e-03   8.97713017e-05  -1.75912413e-03]
-55.6,[ 0.0106794  -0.00860668 -0.0001085  -0.00026072],[  5.68556488e-04   3.61552346e-03   9.05313750e-05  -1.77401824e-03]
-55.5,[ 0.01064964 -0.00858269 -0.0001082  -0.00026   ],[  5.73284563e-04   3.64558990e-03   9.12842275e-05  -1.78877084e-03]
-55.4,[ 0.01062007 -0.00855887 -0.0001079  -0.00025928],[  5.77963476e-04   3.67534371e-03   9.20292519e-05  -1.80337006e-03]
-55.3,[ 0.01059068 -0.00853518 -0.0001076  -0.00025856],[  5.82598051e-04   3.70481556e-03   9.27672162e-05  -1.81783092e-03]
-55.2,[ 0.01056145 -0.00851162 -0.0001073  -0.00025785],[  5.87188755e-04   3.73400844e-03   9.34981952e-05  -1.83215491e-03]
-55.1,[ 0.01053242 -0.00848823 -0.00010701 -0.00025714],[  5.91731812e-04   3.76289832e-03   9.42215871e-05  -1.84633022e-03]
-55.0,[ 0.01050358 -0.00846498 -0.00010671 -0.00025643],[  5.96227733e-04   3.79148845e-03   9.49374735e-05  -1.86035846e-03]
