angle;error_average_ratios;error_stddev_ratios
4;172176,445651;61,2821227039
5;16264,8920449;29,9590194851
6;4490,44954059;11,5911831058
7;4595,05767189;12,4532025338
8;3197,51450001;9,81223490451
9;17270,061072;43,4429355414
10;3032,00605104;8,0949533966
11;2153,36288714;2,70520953557
12;2768,50722027;8,55627740725
13;2163,73632432;3,47278214799
14;2289,69719831;3,68824187434
15;2974,09716873;8,87498143156
