angle;error_average_ratios;error_stddev_ratios
4;5012,02631411;58,9652484759
5;2669,0386617;32,7267667757
6;1846,22674949;10,2029330554
7;2174,71646131;42,9022862954
8;2384,05414968;12,3995018358
9;2271,9178826;45,9885566596
10;2125,6258744;7,55511247059
11;2195,83257338;9,51157386008
12;2186,93913655;5,10554361591
13;2158,33648416;4,73471601809
14;2303,84943002;6,89360234367
15;2205,06459211;3,78217394287
